hbzId	zdbId
HT014978317	2267583-8
HT014978322	2267588-7
HT012981691	2005345-9
HT014978470	2267741-0
HT014978478	2267749-5
HT012982022	2005688-6
HT012982100	2005767-2
HT012982174	2005844-5
HT012982380	2006065-8
HT018549902	2811784-0
HT018676257	2825463-6
HT016247965	2538738-8
HT018835694	2842811-0
HT016248209	2539022-3
HT012982753	2006459-7
HT014540830	2208290-6
HT016248452	2539278-5
HT014985861	2268128-0
HT014986313	2268594-7
HT012982950	2006663-6
HT014578487	2212169-9
HT014986333	2268615-0
HT012983046	2006766-5
HT014986647	2268939-4
HT014986648	2268940-0
HT012983049	2006769-0
HT018670648	2824741-3
HT012981686	2005339-3
HT012981694	2005348-4
HT012981697	2005351-4
HT018544613	2811053-5
HT018544620	2811061-4
HT012982445	2006131-6
HT014977781	2267029-4
HT014977795	2267043-9
HT014977802	2267051-8
HT012982537	2006237-0
HT014978328	2267595-4
HT016166072	2527932-4
HT016235023	2537455-2
HT016235027	2537459-X
HT016235033	2537466-7
HT013830950	2124072-3
HT012981835	2005494-4
HT016235245	2537690-1
HT016235249	2537695-0
HT016235250	2537696-2
HT016235254	2537700-0
HT013831366	2124492-3
HT013831367	2124493-5
HT016235276	2537723-1
HT013831374	2124500-9
HT016235484	2536878-3
HT018546283	2811303-2
HT013831583	2124712-2
HT016236093	2537204-X
HT013783671	2117806-9
HT018834883	2842778-6
HT013783770	2117905-0
HT013783775	2117910-4
HT016256994	2539455-1
HT018760757	2835259-2
HT013784085	2118225-5
HT013784088	2118228-0
HT018673083	2825071-0
HT018670653	2824748-6
HT018343472	2779765-X
HT016166450	2528018-1
HT012983040	2006758-6
HT012983096	2006817-7
HT013524324	2095751-8
HT012983100	2006821-9
HT014540799	2208256-6
HT014540829	2208289-X
HT016257102	2539572-5
HT018545228	2811118-7
HT018545233	2811115-1
HT013692318	2110841-9
HT014578526	2212210-2
HT018635140	2820504-2
HT018549262	2811668-9
HT018549380	2811701-3
HT018673078	2825081-3
HT018673080	2825074-6
HT018546870	2811426-7
HT021775791	3152099-6
HT013831375	2124501-0
HT013831483	2124611-7
HT021775764	3153915-4
HT018343229	2779546-9
HT018676285	2825492-2
HT012982254	2005927-9
HT012982255	2005928-0
HT014985864	2268131-0
HT014985992	2268261-2
HT016256896	2539344-3
HT016256897	2539345-5
HT014986420	2268704-X
HT014986692	2268985-0
HT016257097	2539567-1
HT018670672	2824766-8
HT018637902	2820773-7
HT018638000	2820863-8
HT018638002	2820864-X
HT016187186	2531140-2
HT016320903	2548363-8
HT016321163	2548632-9
HT016187871	2530798-8
HT016910507	2619463-6
HT012983089	2006810-4
HT016188266	2531229-7
HT018674796	2825262-7
HT016188269	2531233-9
HT014986344	2268626-5
HT016910593	2619554-9
HT014986351	2268633-2
HT014986356	2268638-1
HT014986357	2268639-3
HT019142962	2873413-0
HT013523899	2095309-4
HT013523931	2095341-0
HT017048127	2638310-X
HT016910761	2619726-1
HT016166103	2528416-2
HT018548563	2811647-1
HT018764376	2835682-2
HT016166115	2528144-6
HT016187727	2530621-2
HT016187883	2530810-5
HT016910730	2619695-5
HT016188287	2531252-2
HT016910737	2619702-9
HT016910745	2619710-8
HT014978349	2267616-8
HT014978355	2267622-3
HT014978718	2268004-4
HT018675705	2825416-8
HT012931102	2038814-7
HT018551418	2811895-9
HT012982611	2006312-X
HT015603684	2436754-0
HT012982668	2006371-4
HT018833430	2842649-6
HT018833431	2842647-2
HT015603716	2436788-6
HT013523574	2094982-0
HT015603730	2436805-2
HT018677218	2825608-6
HT016247701	2538447-8
HT016247710	2538457-0
HT019017844	2860286-9
HT013475988	2089805-8
HT016248219	2539032-6
HT013830958	2124080-2
HT015595757	2435965-8
HT013830970	2124092-9
HT013831087	2124209-4
HT014986118	2268388-4
HT014986685	2268978-3
HT018671806	2824892-2
HT016166446	2528013-2
HT016196573	2531606-0
HT016196595	2531628-X
HT016196907	2531998-X
HT016197031	2532130-4
HT018760778	2835286-5
HT015603490	2436484-8
HT015603501	2436495-2
HT018834872	2842768-3
HT013783682	2117817-3
HT015603504	2436498-8
HT015603515	2436509-9
HT015603522	2436518-X
HT018834887	2842783-X
HT018956378	2854049-9
HT016256991	2539452-6
HT016256993	2539454-X
HT016187153	2530301-6
HT018760770	2835272-5
HT018760784	2835285-3
HT018548513	2811593-4
HT016187457	2530325-9
HT013784236	2118378-8
HT015594841	2434906-9
HT018957339	2854126-1
HT015594856	2434921-5
HT015595120	2435234-2
HT014985964	2268232-6
HT015595284	2435404-1
HT014985971	2268239-9
HT015595868	2436084-3
HT014986103	2268373-2
HT018675699	2825414-4
HT012982028	2005694-1
HT018764372	2835693-7
HT018764380	2835675-5
HT016166107	2528419-8
HT016166448	2528015-6
HT012982669	2006372-6
HT012982756	2006463-9
HT016257084	2539553-1
HT016197059	2532159-6
HT016197071	2532171-7
HT019148798	2874011-7
HT019148801	2874012-9
HT016247226	2537911-2
HT016247415	2538115-5
HT016187205	2530313-2
HT019148831	2874022-1
HT014977820	2267070-1
HT016187227	2531146-3
HT016187231	2530296-6
HT019148837	2874024-5
HT013475982	2089799-6
HT014977827	2267077-4
HT016187476	2530346-6
HT016187716	2530610-8
HT018834275	2842705-1
HT013830962	2124084-X
HT012981679	2005330-7
HT012981838	2005498-1
HT015594667	2435442-9
HT012982014	2005680-1
HT015594866	2434931-8
HT015594868	2434933-1
HT015595147	2435261-5
HT015595407	2435563-X
HT015595907	2436125-2
HT015595921	2436140-9
HT015595922	2436141-0
HT014985859	2268126-7
HT012982262	2005935-8
HT018675714	2825427-2
HT013784241	2118383-1
HT013784245	2118387-9
HT014986505	2268791-9
HT016190943	1490813-X
HT014986684	2268977-1
HT018834895	2842789-0
HT014985872	2268139-5
HT014986534	2268820-1
HT018551174	2811854-6
HT012982812	2006523-1
HT012982814	2006525-5
HT018551192	2811878-9
HT018955899	2853960-6
HT012982830	2006541-3
HT013523815	2095224-7
HT018631493	2820041-X
HT013523847	2095256-9
